KTOKD,KUNNR,BUKRS,VKORG,VTWEG,SPART,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,SPRAS
1,1,G100,G100,20,10,ZZ,"ZZZ ZZZZÑZZZ, Z.Z.",,ZZZZZZ,28100,28,ZZZ ZZZZÑZ,EN
1,3,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZ, Z.Z.",,ZZZZZZZ,1013,1,ZZZZZZZZZ ,EN
1,7,G100,G100,20,10,ZZ,"ZZZZZZZZZZZ ZZZZZZ, Z.Z.",,ZZZZZZZ ZZZ ZZZZZZ,8210,8,ZZZZZZZZZZ,EN
1,30,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZZ, Z.Z.",,ZZZZZZZZZZ,2520,2,ZZZZZZ ZZZ,EN
1,31,G100,G100,20,10,ZZ,"ZZZZ, Z.Z.",,ZZZZZZZZ,31001,31,"ZZZZ, Z.Z.",EN
1,39,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZ, Z.Z.",,ZZZZZZ,2400,2,ZZZZZZZZZ ,EN
1,45,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZ ZZZZZZZZ,Z.Z.",,ZZZZZZ ZZ ZZZZZZ,19300,19,ZZZZZZZZZ ,EN
1,46,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZ, Z.Z.",,ZZ ZZZZ,2630,2,ZZZZZZ ZZZ,EN
1,47,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZZZ, Z.Z.",,ZZ ZZZZ,2630,2,ZZZZZZZZZ ,EN
1,48,G100,G100,20,10,ZZ,"ZZZZZZZZ ZZZZZZ, ZZZZZZZ",,ZZZZZZZZZZZ,46837,46,ZZZZZZZZ Z,EN
1,51,G100,G100,20,10,ZZ,ZZZZZZZZZZZ,,ZZZZZZZZ,46014,46,ZZZZZZZZZZ,EN
1,53,G100,G100,20,10,ZZ,"ZZZZZZZ, Z.Z.",,ZZZZZ (ZZZ ZZZZZZ ZZ ZZZZ ZZZZZZZ),35219,35,"ZZZZZZZ, Z",EN
1,55,G100,G100,20,10,ZZ,"ZZZZZZZ ZZZZZZ, Z.Z.",,ZZZZZZZZ,3001,3,ZZZZZZZ ZZ,EN
1,62,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZ, ZZZZZ",,ZZZZZZZZ,3001,3,ZZZZZ ZZZZ,EN
1,83,G100,G100,20,10,ZZ,"ZZZZZZZ ZZ ZZZZ. Z ZZZZ., Z.Z.",,ZZZZZZ,28020,28,ZZZZZZZ ZZ,EN
1,84,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZ, ZZZZZZ",,ZZZZZZZ,31300,31,ZZZZZZ ZZZ,EN
1,86,G100,G100,20,10,ZZ,"ZZZZZZZZ Z ZZZZZ. ZZZZZZZ,Z.Z.",,ZZZZ ZZ ZZZZZ (ZZZZZZZZ),3839,3,ZZZZZZZZ Z,EN
1,94,G100,G100,20,10,ZZ,"ZZZZZZZZZZZZZ ZZZZZZ, Z.Z.",,ZZZZ ZZZZZZZ ZZ ZZZZZ,8272,8,ZZZZZZZZZZ,EN
1,105,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZ, ZZZZZZZ",,ZZZZZZZZ,3010,3,ZZZZZZ ZZZ,EN
1,106,G100,G100,20,10,ZZ,"ZZZZZZZZZZ ZZZZZZ, Zª.ZZZZZ",,ZZZZZZZZZ,20500,20,ZZZZZZZZZZ,EN
1,113,G100,G100,20,10,ZZ,ZZZZ ZZZZZZ Z Z.ZZZZ ZZZZZ,,ZZZZZZZZ,31014,31,ZZZZ ZZZZZ,EN
1,114,G100,G100,20,10,ZZ,"ZZZZZZ ZZÑZZZ, ZZZZZ",,ZZZZZZ,31151,31,ZZZZZZ ZZÑ,EN
1,125,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZ, Z.Z.",,ZZZZZZZZZZZ (ZZZZZZ),32102,32,ZZZZZZZZZ ,EN
1,129,G100,G100,20,10,ZZ,"ZZZZZZZZ ZZZZZZZZ, ZZZZ ZZZZZ",,ZZZZZZZZ,31012,31,ZZZZZZZZ Z,EN
1,136,G100,G100,20,10,ZZ,"ZZZZZZZZZZZZ ZZZZZ, Z.Z.",,ZZZZZZ,32002,32,ZZZZZZZZZZ,EN
1,137,G100,G100,20,10,ZZ,"ZZZZZZZ, Z.Z.",,Z'ZZZZZZZZZZ,8908,8,"ZZZZZZZ, Z",EN
1,152,G100,G100,20,10,ZZ,ZZZZZZ,,ZZZZZZ,48004,48,ZZZZZZ,EN
1,155,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZ.ZZ ZZZZZZZZZZ,ZZ",,ZZZZZZZ,28915,28,ZZZZZZZZZ ,EN
1,176,G100,G100,20,10,ZZ,"ZZZZZZ, Z.Z.",,ZZZZZZZZZ,48960,48,"ZZZZZZ, Z.",EN
1,181,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZZZZZZ, Z.Z.",,ZZZZZZ ZZZZ,13002,13,ZZZZZZZZZ ,EN
1,192,G100,G100,20,10,ZZ,"ZZZZZ, Z.Z.",,ZZZZZZZ ZZZZZZ,28909,28,"ZZZZZ, Z.Z",EN
1,194,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZZ, ZZZZ",,ZZZZZZZ,4003,4,ZZZZZZ ZZZ,EN
1,202,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZ, Z.Z.",,ZZ ZZZZZZZ,5192,5,ZZZZZZZZZ ,EN
1,209,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZZZ, ZZZZZZ",,ZZZ ZZZZZZZZZ,20010,20,ZZZZZZZZZ ,EN
1,211,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZ ZZZZZZZZ, Z.Z",,ZZZZZZZ,14014,14,ZZZZZZZZZ ,EN
1,215,G100,G100,20,10,ZZ,"ZZZZZZZZ ZZZZZZZZZZ, Z.Z.",,ZZZZZZZZZZ ZZ ZZZZZZZ,50830,50,ZZZZZZZZ Z,EN
1,217,G100,G100,20,10,ZZ,"ZZZZZZZZZZ, Z.Z.",,ZZZZZZZZ,30560,30,ZZZZZZZZZZ,EN
1,220,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZ, ZZZZ ZZZZZZZ",,ZZZZZZZZ,3340,3,ZZZZZ ZZZZ,EN
1,221,G100,G100,20,10,ZZ,Z.Z.ZZZZZZZZZ-ZZZZ.ZZZZZZ,,ZZZZZZ,28906,28,Z.Z.ZZZZZZ,EN
1,238,G100,G100,20,10,ZZ,"ZZÑZZZZZ ZZZZZZ, ZZZZ",,ZZZZZZ,2400,2,ZZÑZZZZZ Z,EN
1,241,G100,G100,20,10,ZZ,"Z.Z.ZZZZZZZZZ,Z.Z.(ZZZZZ ZZ)",,ZZZZZ ZZ ZZZZZZZZ,7015,7,Z.Z.ZZZZZZ,EN
1,258,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZZ, ZZZZ",,ZZZZZZZ,41010,41,ZZZZZ ZZZZ,EN
1,266,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZ, ZZZ.ZZZZZZ",,ZZZZZZ,48012,48,ZZZZZ ZZZZ,EN
1,270,G100,G100,20,10,ZZ,"ZZZZZZZ ZZZZ, Z.Z.",,ZZZZZZZZZZ,7760,7,ZZZZZZZ ZZ,EN
1,272,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZZ ZZZZZZZ, Z.Z.",,ZZZZZZZZZZ (ZZZZZZZZZ),8193,8,ZZZZZ ZZZZ,EN
1,292,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZ, ZZZZ",,ZZ ZZZZZZZZ,33930,33,ZZZZZZ ZZZ,EN
1,299,G100,G100,20,10,ZZ,"ZZZZZZZZZZZZ ZZZ ZZZZZZZZ,Z.Z.",,ZZ ZZZZZ,4700,4,ZZZZZZZZZZ,EN
1,305,G100,G100,20,10,ZZ,"ZZZZZZZ ZZZZZZ, ZZZZZ",,ZZZZZ,33204,33,ZZZZZZZ ZZ,EN
1,314,G100,G100,20,10,ZZ,"Z.Z. ZZZZZZZ, Z.Z.",,ZZZZZZZZZZZ ZZ ZZZZZ,36600,36,Z.Z. ZZZZZ,EN
1,315,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZ, ZZZZZZ ZZZZZZZ",,ZZZZZ,33201,33,ZZZZZZ ZZZ,EN
1,326,G100,G100,20,10,ZZ,"ZZZ 4 Z 4, Z.Z.",,ZZZZZZZ,41000,41,"ZZZ 4 Z 4,",EN
1,327,G100,G100,20,10,ZZ,"ZZZZZZZ-6, Z.Z.Z.",,ZZZ ZZZZZZ,37796,37,"ZZZZZZZ-6,",EN
1,337,G100,G100,20,10,ZZ,ZZZZ.ZZZZZZZZZZZ ZZZ ZZZZZZZ,,ZZZZZZZ,23740,23,ZZZZ.ZZZZZ,EN
1,359,G100,G100,20,10,ZZ,"ZZZZZZZZZZ ZZ ZZ ZZZZZZ, Z.Z.",,ZZZZZZZZZZ,24400,24,ZZZZZZZZZZ,EN
1,363,G100,G100,20,10,ZZ,"ZZZZZZ, Z.Z.",,ZZZZZZZZZ,29200,29,"ZZZZZZ, Z.",EN
1,367,G100,G100,20,10,ZZ,"ZZZZ ZZZZ ZZZZZ, Z.Z.",,ZZZZZZZ,41007,41,ZZZZ ZZZZ ,EN
1,368,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZZZZZZ,Z.Z.",,ZZZZZZZZZ,8013,8,ZZZZZZZZZ ,EN
1,370,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZZ, Z.Z.",,ZZZZZZZZZZZ,46837,46,ZZZZZ ZZZZ,EN
1,379,G100,G100,20,10,ZZ,"Z.Z.ZZZZZZZZZ, Z.Z.",,ZZZZZ (ZZZZZZ),28980,28,Z.Z.ZZZZZZ,EN
1,381,G100,G100,20,10,ZZ,"ZZZZZZZZ ZZZZZ, ZZZZ ZZZZ",,ZZZZZZZZ,3340,3,ZZZZZZZZ Z,EN
1,383,G100,G100,20,10,ZZ,"ZZZZZZZ ZZZZZZZZ ZZZZZZÑZ,Z.Z.",,ZZZZZZZZ,8734,8,ZZZZZZZ ZZ,EN
1,391,G100,G100,20,10,ZZ,"ZZZZZZ, Z.Z.",,ZZZZZZZZ,8915,8,"ZZZZZZ, Z.",EN
1,398,G100,G100,20,10,ZZ,ZZZZZ ZZZZZZZZ,,ZZZ ZZZZZZ ZZ ZZZZ ZZZZZZZ,35219,35,ZZZZZ ZZZZ,EN
2,399,G100,G100,20,10,ZZ,ZZZZZ ZZZZZZZZ (ZZZZZZZZ),,ZÜZZZZ (ZZZZZZZZ),38509,38,ZZZZZ ZZZZ,EN
1,400,G100,G100,20,10,ZZ,"ZZZZ ZZZZZ, Zª.ZZZZ",,ZZZZZZ,3100,3,ZZZZ ZZZZZ,EN
1,410,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZZZ.Z.,Z.Z.(9094)",,ZZZZZZZZZ,17469,17,ZZZZZZ ZZZ,EN
1,411,G100,G100,20,10,ZZ,"ZZZZZZZZZZZZZ ZZZZÑZZ, Z.Z.",,ZZZZZZZ-ZZZZZZZ,35118,35,ZZZZZZZZZZ,EN
1,413,G100,G100,20,10,ZZ,"ZZZZZZZZZZZ, Z.Z.",,ZZZZZZZZ - ZZZZZZZZZ,35550,35,ZZZZZZZZZZ,EN
1,418,G100,G100,20,10,ZZ,"ZZZ ZZZZ, Z.Z.",,ZZZZZZ ZZ ZZZZZZZZ,8519,8,"ZZZ ZZZZ, ",EN
1,440,G100,G100,20,10,ZZ,"ZZZZ ZZZZ, Z.Z.",,ZZZZZ ZZZZZZ ZZ ZZZZZZZZ,8922,8,"ZZZZ ZZZZ,",EN
1,455,G100,G100,20,10,ZZ,"ZZZZZ ZZZZZZZZ, ZZZZZZZ",,ZZZZZZZZZ,8022,8,ZZZZZ ZZZZ,EN
1,462,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZ, Z.Z.",,ZZZZZZ ZZ ZZZZZZZ -ZZZZZZ,33424,33,ZZZZZZ ZZZ,EN
1,468,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZ, Z.Z.",,ZZZZZ ZZZZ ZZ ZZZZZZZZ,38009,38,ZZZZZZZZZ ,EN
1,470,G100,G100,20,10,ZZ,"ZZZZZZZZZZZ ZZZZ.ZZZZZZZZZ,Z.Z",,ZZZZZZ-ZZZZZZZ,33192,33,ZZZZZZZZZZ,EN
